English Word,Persian Word
mode,روش ، حالت ، نما ، نحوه ، طریقه ، طرز ، مد ، مُد 
mode class,طبقه ی نما
mode of a distribution,نمای یک توزیع
mode of distribution,نمای یک بخش
mode of production,طرز تولید ، نحوه ی تولید 
model,الگو ، مدل ، سرمشق ، شکل دادن ، طرح ، طرح ریختن ، مدلسازی ، نمونه ، ق ... 
model based,مدل‌پایه
model building,ساخت مدل ، مدلسازی 
model construction,مدل‌سازی
model misses pacification error,خطای حاصل از الگو نادرست
model selection,مدل‌گزینی
model theory,نظریه ی مدل ها
modeling,مدل‌بندی ، مدل بندی ، مدل سازی ، نمونه سازی ، قالب سازی ، مدل‌بندی /  ... 
model-unbiased estimation,برآورد مدل‌نااریب
modem,تلفیق و تفکیک کننده ، دستگاه دادگان ، مودم 
modern,جدید ، مدرن ، نوین 
modern algebra,جبر مدرن ، جبر نوین 
ultimate,ماکزیمم ، محدود ، نهایی ، غایی ، واپسین 
ultimate administrative authority,عالی ترین مرجع اداری
ultimate authority,اختیار نهایی
ultimate cluster,خوشه ی نهایی
ultimate departmentation,تقسیم وظایف نهایی
ultimate maximizer,حداکثر کننده ی نهایی
ultimate responsibility,مسئولیت نهای
ultimate sampling unit,آخرین واحد نمونه گیری
ultimately,نهایتا ، سرانجام ، نهایی ، غایی ، بالاخره ، دوترین ، مآلا 
ultra,فرا ، مافوق ، ماوراء 
ultra ideal,فرا آرمانی
ultra parallel,فرا موازی
ultrafilter,فراپالایه ، فراصافی 
ultrainfinite point,نقطه ی فرابینهایت
ultrametric,ورامتریک ، فرامتریک ، فرامتری 
ultraradical,اولترا رادیکال
ultrasonic,مافوق صوت ، فراصوتی ، اَبَر صوت ، مافوق سرعت صوت 
ultrasonic testing,عیب یابی با امواج ماوراء صوت ، آزمایش فراصوتی ، عیب یابی فراصوتی 
ultraspherical,وراکُروی
ultraspherical polynomial,چندجمله‌ای وراکُروی
ultrastructural relationship,رابطه وراساختاری
ultraviolet,ماوراء بنفش ، فرابنفش 
umbilic,نافی ، نقطه ی نافی 
umbilic point,نقطه ی نافی
umbilical point,نقطه ی نافی
umbilicus,ناف
umbrella alternative,فرض مقابل چتری
umvue,uniformly minimum variance unbiased estimator  برآوردگر نااریب با وار ... 
un,پیشوندی به معنی بدون ، نه ، غیر 
un favorable,نامطلوب
unacceptable,ناپذیرفتنی ، غیر قابل قبول 
unacceptable quality level,سطح کیفیت ناپذیرفتنی ، سطح کیفیت غیر قابل پذیرش 
unaccomodate,ناهمساز
unaccomodation,ناهمسازی
unadaptation,عدم انطباق
unadapted,انطباق نیافته ، نامنطبق 
unadjusted,ناسازگار
unadjusted trial balance,تراز آزمایشی اصلاح نشده
unadjustment,ناسازگاری
unaligned,ناهمخط ، نا هم تراز 
unallotted appropriation,اعتبار تخصیص نیافته
unallotted share,سهام منتشر نشده ، سهام توزیع نشده 
unambiguous,بدون ابهام
unambiguously,آشکارا ، به طور بدون ابهام 
unary,یکتایی ، یک جایی 
unary connective,ادات یک طرفی
unary operation,عمل یگانی
unary operator,عملگر یکتایی
unassignable cause,عامل غیر قابل شناسایی
unaugmented histogram,نمودار پله ای ناافزوده
unauthorized,غیر مجاز
unauthorized absence,غیبت غیر موجه ، غیبت غیر مجاز 
unavailability,ناآمادگی ، عدم قابلیت استفاده 
unavodabel hacard,خطر اجتناب ناپذیر
unavoid able delay,تأخیر اجتناب ناپذیر
unbalanced,غیر متعادل ، نامتعادل ، نامیزان ، غیر متقارن ، نامتوازن 
unbalanced transportation model,مدل حمل و نقل ناموزون
unbias,نااریب
unbiased,نااریب ، نااریبی ، بی نظرانه ، بی پیشقدر ، درست ، بی اریب 
unbiased estimate,برآورد نااریب ، برآورد بی غرض 
unbiased estimation,برآورد کردن نااریب
unbiased estimator,براوردگر نااریب ، برآورد کننده ی نااریب ، برآوردگر نااریب 
unbiased sample,نمونه ی مستقیم
unbiased test,آزمون نااریب
summable,مجموع پذیر ، جمع پذیر 
summable function,تابع جمع پذیر
summable series,سری مجموعپذیر
summand,جمع وند ، سازه ی جمعی ، مجموعده ؛ جمله ی دوّم مجموع دو عدد ، جمع‌وند  ... 
summarize,خلاصه کردن ، مختصر کردن ، منحصر کردن ، شرح مختصر دادن 
summary,خلاصه ، مختصر 
summary network,شبکه ی فشرده
summary statistics,آماره های خلاصه
summation,مجموع یابی ، جمع ، محاسبه ی حاصل جمع ، جمع زنی ، جمع بندی ، عمل جمع ، ... 
summation by parts,جمع بندی جزء به جزء
summation convention,قرارداد جمع بندی ، قرارداد مجموع یابی 
summation formula,فرمول مجموعیابی
summation notation,علامت جمع ، نماد جمع بندی ، علامت ? ، نماد مجموع 
summation of convention,قرارداد جمعبندی ، قرارداد مجموع یابی 
summation of part,مجموع جزء به جزء
summation process,فرایند جمع بندی ، فرایند جمع زنی 
summation sign,علامت جمع زنی ، علامت جمع بندی ، علامت جمع 
summation symbol,نماد محاسبه ی مجموع
summend,جمله ی دوم مجموع دو عدد
summetric matrix,ماتریس متقارن
summing up,از جمع ، ‌ از مجموع 
summit,اوج ، قلّه ، تارک ، قله ، رأس 
summit angles,زاویه های تارک
sum-quota sampling,نمونه‌گیری در مجموع سهمیه‌ای
sum-symmetric power series distribution,توزیع سریهای توانی مجموع‌متقارن
sun chart,نمودار خورشیدی
sunchronic difference,تفاضل متقارن ، اختلاف متقارن ، اختلاف هزینه ای 
sunchronic distribution,توزیع متقارن
sunchronic elements,اجزای متقارن
sunchronic form,صورت متقارن ، فرم متقارن ، فرم تقارنی 
sunchronic function,تابع متقارن ، تابع زوج 
sunchronic graph,نگار متقارن ، گراف متقارن 
sunchronic group on n group,گروه متقارن با n متغیر
sunchronic limit,حد تقارنی
sunchronic matrix,ماتریس متقارن
sunchronic neighborhood,همسایگی متقارن
sunchronic polynomial,بسجمله ی متقارن
sunchronic property of experiment,خاصیت قرینگی آزمایش
sunchronic relation,رابطه ی تقارنی ، رابطه ی تقارن ، رابطه ی قرینه 
sunchronic simple binary experiments,آزمایش های دو تایی ساده ی متقارن
sunchronic square matrix,ماتریس مربع متقارن
sundberg formula,فرمول ساندبرگ
sunk cost,هزینه ی نابرگشتنی ، هزینه ی ریخته شده ، هزینه ی هدر رفته ، هزینه ی ری ... 
super,زبَر ، پر قدرت ، زبر ، ‌اَبَر 
super additive,زبَر جمعی
super finishing,فوق پرداخت ، پرداخت کاری فوق العاده 
super hardness,فوق سختی
super highspeed press,پرس فوق العاده سریع
super micrometer,فوق ریزسنج
super parallel,ابر موازی
super plane,سطح مافوق
super population,زبَر جامعه ، ابَر جامعه ، زبرجامعه ، ابرجامعه 
super position,بر هم نهش
super soluble,اَبَر حل پذیر
super system,سیستم بسیار عظیم ، سوپر سیستم ، ابر سیستم ، فرا سیستم 
superadditive,زبَرجمعی
superadditive function,تابع زبرجمعی
superaditive function,تابع زبرجمعی
super-bayesian,اَبَربیزی
superefficiency,اَبَرکارآ
superelevation,ابَر ارتفاع
superfluous,زاید
superharmonic,زبَر همساز
superharmonic function,تابع زیرهمساز
recession cone,مخروط دور شونده
recession direction,جهت دور شونده
recessive,بازگشتی ، مایل به بازگشت ، پس‌رفتنی ، ناچیز ، بازگشتنی ، ارتجاعی ، پس ... 
reciproc,متقابل
reciproca,عکس (یک عدد)
reciprocal,معکوس ، وارون ، متقابل ، عکس(یک عدد) ؛ متناسب معکوس ، متعاکس ، دو سو  ... 
reciprocal agreement,قرارداد دو جانبه
reciprocal averaging,متوسط‌گیری معکوس
reciprocal cone,مخروط متقابل
reciprocal curve of a curve,خم عکس خم
reciprocal differences,تفاضلهای معکوس
reciprocal distribution,توزیع معکوس
reciprocal element,عنصر معکوس
reciprocal equation,معادله‌ی معکوس ، معادله ی معکوسه 
reciprocal image,تصویر معکوس
reciprocal method allocation,روش سرشکن کردن دو طرفه
reciprocal model,مدل معکوس
reciprocal of a fraction,معکوس یک کسر ، کسر معکوس ، ‌عکس یک کسر 
reciprocal of a number,عکس یک عدد ، معکوس یک عدد 
reciprocal of a ratio,نسبت معکوس
reciprocal relation,رابطه ی معکوس
reciprocal spiral,مارپیچ وارون(خم)
reciprocal theorem,قضیه ی دوگان
